,검색일자,국가,대륙,모바일검색량,PC검색량,총검색량
325,2021-01,조지아,유럽,33,933,966
326,2021-01,중국,아시아,616,3158,3774
327,2021-01,캐나다,아메리카,175,1625,1800
328,2021-01,콜롬비아,아메리카,15,584,599
329,2021-01,태국,아시아,1837,7592,9429
330,2021-01,터키,유럽,159,1261,1420
331,2021-01,팔라우,오세아니아,175,1924,2099
332,2021-02,뉴질랜드,오세아니아,25,166,191
333,2021-02,대만,아시아,2114,8865,10979
334,2021-02,러시아,아시아,26,458,484
335,2021-02,러시아,유럽,24,188,212
336,2021-02,몰타,유럽,23,842,865
337,2021-02,몽골,아시아,29,409,438
338,2021-02,미국,아메리카,3238,17535,20773
339,2021-02,미국,오세아니아,900,2495,3395
340,2021-02,베트남,아시아,2229,11400,13629
341,2021-02,스위스,유럽,1338,7868,9206
342,2021-02,스페인,유럽,131,556,687
343,2021-02,아랍에미리트,아시아,564,3321,3885
344,2021-02,영국,유럽,6,17,23
345,2021-02,영국여행,유럽,71,266,337
346,2021-02,이집트,아프리카,374,1578,1952
347,2021-02,이탈리아,유럽,138,1685,1823
348,2021-02,인도네시아,아시아,202,681,883
349,2021-02,일본,아시아,5808,21286,27094
350,2021-02,조지아,유럽,262,2971,3233
351,2021-02,중국,아시아,284,1404,1688
352,2021-02,캐나다,아메리카,48,470,518
353,2021-02,케냐,아프리카,127,370,497
354,2021-02,태국,아시아,1891,6669,8560
355,2021-02,터키,유럽,322,2298,2620
356,2021-02,팔라우,오세아니아,38,493,531
357,2021-02,프랑스,유럽,28,170,198
358,2021-02,필리핀,아시아,14,311,325
359,2021-03,대만,아시아,3050,12279,15329
360,2021-03,라오스,아시아,39,216,255
361,2021-03,러시아,아시아,106,1075,1181
362,2021-03,몽골,아시아,65,496,561
363,2021-03,미국,아메리카,4097,18712,22809
364,2021-03,미국,오세아니아,1159,3920,5079
365,2021-03,베트남,아시아,3311,14966,18277
366,2021-03,스위스,유럽,2151,8704,10855
367,2021-03,스페인,유럽,432,1958,2390
368,2021-03,싱가포르,아시아,97,839,936
369,2021-03,아랍에미리트,아시아,71,531,602
370,2021-03,이집트,아프리카,84,245,329
371,2021-03,인도네시아,아시아,43,171,214
372,2021-03,일본,아시아,7709,26933,34642
373,2021-03,조지아,유럽,13,1004,1017
374,2021-03,중국,아시아,1234,5350,6584
375,2021-03,캐나다,아메리카,52,182,234
376,2021-03,태국,아시아,3082,10527,13609
377,2021-03,터키,유럽,764,5329,6093
378,2021-03,팔라우,오세아니아,132,2055,2187
379,2021-04,그리스,유럽,321,1049,1370
380,2021-04,대만,아시아,2737,10195,12932
381,2021-04,몰타,유럽,30,467,497
382,2021-04,미국,아메리카,4852,19702,24554
383,2021-04,미국,오세아니아,1280,4030,5310
384,2021-04,베트남,아시아,3084,13263,16347
385,2021-04,스위스,유럽,1743,5759,7502
386,2021-04,스페인,유럽,386,1450,1836
387,2021-04,싱가포르,아시아,59,145,204
388,2021-04,아랍에미리트,아시아,18,215,233
389,2021-04,영국여행,유럽,80,177,257
390,2021-04,이스라엘,아시아,256,2272,2528
391,2021-04,이탈리아,유럽,480,1566,2046
392,2021-04,인도,아시아,319,1809,2128
393,2021-04,인도네시아,아시아,46,510,556
394,2021-04,일본,아시아,6890,22503,29393
395,2021-04,중국,아시아,1221,4347,5568
396,2021-04,캐나다,아메리카,86,424,510
397,2021-04,쿠바,아메리카,35,1226,1261
398,2021-04,태국,아시아,3058,10347,13405
399,2021-04,터키,유럽,498,2723,3221
400,2021-05,그리스,유럽,72,444,516
401,2021-05,뉴질랜드,오세아니아,53,298,351
402,2021-05,대만,아시아,2619,9391,12010
403,2021-05,러시아,아시아,35,302,337
404,2021-05,몰타,유럽,52,1126,1178
405,2021-05,몽골,아시아,25,274,299
406,2021-05,미국,아메리카,6055,24391,30446
407,2021-05,미국,오세아니아,3073,9904,12977
408,2021-05,베트남,아시아,2722,12166,14888
409,2021-05,스위스,유럽,2256,6451,8707
410,2021-05,스페인,유럽,1117,2799,3916
411,2021-05,싱가포르,아시아,546,2990,3536
412,2021-05,이스라엘,아시아,161,1843,2004
413,2021-05,이탈리아,유럽,66,178,244
414,2021-05,인도,아시아,194,1349,1543
415,2021-05,일본,아시아,7761,25877,33638
416,2021-05,조지아,유럽,34,658,692
417,2021-05,중국,아시아,1119,4154,5273
418,2021-05,캐나다,아메리카,55,289,344
419,2021-05,태국,아시아,2829,10640,13469
420,2021-05,터키,유럽,409,3010,3419
421,2021-05,프랑스,유럽,208,477,685
422,2021-06,대만,아시아,2589,8567,11156
423,2021-06,몰타,유럽,61,864,925
424,2021-06,몽골,아시아,85,1119,1204
425,2021-06,미국,아메리카,7580,28047,35627
426,2021-06,미국,오세아니아,7710,23798,31508
427,2021-06,베트남,아시아,2992,12517,15509
428,2021-06,스위스,유럽,2389,7981,10370
429,2021-06,스페인,유럽,1955,7296,9251
430,2021-06,싱가포르,아시아,2425,11180,13605
431,2021-06,인도,아시아,77,404,481
432,2021-06,인도네시아,아시아,169,1654,1823
433,2021-06,일본,아시아,9272,30463,39735
434,2021-06,조지아,유럽,42,2309,2351
435,2021-06,태국,아시아,4433,16834,21267
436,2021-06,터키,유럽,1172,7124,8296
437,2021-06,프랑스,유럽,1422,4663,6085
438,2021-06,필리핀,아시아,135,610,745
439,2021-07,그리스,유럽,33,597,630
440,2021-07,뉴질랜드,오세아니아,45,202,247
441,2021-07,대만,아시아,1908,8118,10026
442,2021-07,라오스,아시아,59,276,335
443,2021-07,몰타,유럽,32,798,830
444,2021-07,몽골,아시아,113,1109,1222
445,2021-07,미국,아메리카,5806,25056,30862
446,2021-07,미국,오세아니아,5208,18233,23441
447,2021-07,베트남,아시아,1625,7560,9185
448,2021-07,스위스,유럽,1401,4586,5987
449,2021-07,스페인,유럽,260,1068,1328
450,2021-07,에스토니아,유럽,150,3839,3989
451,2021-07,이스라엘,아시아,37,1628,1665
452,2021-07,이탈리아,유럽,49,232,281
453,2021-07,인도네시아,아시아,267,4010,4277
454,2021-07,일본,아시아,6177,23467,29644
455,2021-07,조지아,유럽,192,3712,3904
456,2021-07,중국,아시아,254,768,1022
457,2021-07,체코,유럽,43,622,665
458,2021-07,케냐,아프리카,20,474,494
