검색일자,국가,대륙,총검색량
2022-11,싱가포르,아시아,128656
2022-11,일본,아시아,1174855
2022-11,중국,아시아,3731
2022-11,태국,아시아,131223
2022-11,터키,유럽,8323
2022-11,필리핀,아시아,37273
2022-12,괌,오세아니아,3087
2022-12,대만,아시아,195203
2022-12,모로코,아프리카,4686
2022-12,베트남,아시아,241903
2022-12,스위스,유럽,4621
2022-12,싱가포르,아시아,147980
2022-12,인도네시아,아시아,20255
2022-12,일본,아시아,1367207
2022-12,카타르,아시아,2751
2022-12,태국,아시아,147923
2022-12,필리핀,아시아,55773
2023-01,괌,오세아니아,28881
2023-01,대만,아시아,257178
2023-01,말레이시아,아시아,4323
2023-01,베트남,아시아,273637
2023-01,싱가포르,아시아,231783
2023-01,아랍에미리트,아시아,26537
2023-01,인도네시아,아시아,44028
2023-01,일본,아시아,1328183
2023-01,중국,아시아,3671
2023-01,태국,아시아,233753
2023-01,터키,유럽,3397
2023-01,필리핀,아시아,62763
2023-02,괌,오세아니아,17002
2023-02,대만,아시아,233070
2023-02,몰타,유럽,4882
2023-02,베트남,아시아,170956
2023-02,싱가포르,아시아,173211
2023-02,인도네시아,아시아,102837
2023-02,일본,아시아,869132
2023-02,중국,아시아,44604
2023-02,태국,아시아,134290
2023-02,터키,유럽,22245
2023-02,필리핀,아시아,60418
2023-03,괌,오세아니아,15123
2023-03,그리스,유럽,15
2023-03,대만,아시아,216636
2023-03,라오스,아시아,28517
2023-03,베트남,아시아,179026
2023-03,스페인,유럽,68722
2023-03,싱가포르,아시아,148425
2023-03,요르단,아시아,27
2023-03,인도네시아,아시아,42664
2023-03,일본,아시아,711193
2023-03,중국,아시아,25683
2023-03,태국,아시아,116671
2023-03,필리핀,아시아,103925
2023-04,괌,오세아니아,48190
2023-04,대만,아시아,218997
2023-04,라오스,아시아,4915
2023-04,미국,북아메리카,7667
2023-04,베트남,아시아,177227
2023-04,스페인,유럽,3907
2023-04,싱가포르,아시아,146088
2023-04,인도네시아,아시아,7742
2023-04,일본,아시아,812005
2023-04,중국,아시아,17679
2023-04,태국,아시아,135395
2023-04,필리핀,아시아,103042
2023-05,괌,오세아니아,26703
2023-05,대만,아시아,203596
2023-05,몽골,아시아,140977
2023-05,미국,북아메리카,3694
2023-05,베트남,아시아,163845
2023-05,싱가포르,아시아,155476
2023-05,아랍에미리트,아시아,5607
2023-05,인도네시아,아시아,3669
2023-05,일본,아시아,820496
2023-05,중국,아시아,66165
2023-05,태국,아시아,103389
2023-05,필리핀,아시아,124236
2023-06,대만,아시아,191459
2023-06,몽골,아시아,22329
2023-06,베트남,아시아,174420
2023-06,싱가포르,아시아,152327
2023-06,인도네시아,아시아,92979
2023-06,일본,아시아,880125
2023-06,조지아,유럽,5910
2023-06,중국,아시아,23110
2023-06,캄보디아,아시아,6154
2023-06,태국,아시아,90883
2023-06,필리핀,아시아,128997
2023-07,대만,아시아,205778
2023-07,말레이시아,아시아,3958
2023-07,몽골,아시아,14522
2023-07,베트남,아시아,171265
2023-07,싱가포르,아시아,144341
2023-07,인도네시아,아시아,84647
2023-07,일본,아시아,867580
2023-07,중국,아시아,4195
2023-07,태국,아시아,162690
2023-07,필리핀,아시아,111435
2023-08,대만,아시아,213385
2023-08,몰타,유럽,3872
2023-08,몽골,아시아,66479
2023-08,베트남,아시아,155470
2023-08,싱가포르,아시아,137997
2023-08,인도네시아,아시아,44398
2023-08,일본,아시아,768187
2023-08,중국,아시아,32445
2023-08,태국,아시아,116375
2023-08,필리핀,아시아,101041
2023-09,대만,아시아,195163
2023-09,몽골,아시아,14885
2023-09,베트남,아시아,126855
2023-09,싱가포르,아시아,106774
2023-09,일본,아시아,625157
2023-09,조지아,유럽,3506
2023-09,중국,아시아,107671
2023-09,태국,아시아,91906
2023-09,필리핀,아시아,38845
2023-10,대만,아시아,224875
2023-10,라오스,아시아,4817
2023-10,베트남,아시아,151270
2023-10,싱가포르,아시아,119267
2023-10,이스라엘,아시아,7535
2023-10,일본,아시아,795454
2023-10,중국,아시아,109352
2023-10,태국,아시아,81227
2023-10,필리핀,아시아,6140
2023-11,대만,아시아,226815
2023-11,라오스,아시아,7636
2023-11,베트남,아시아,154563
2023-11,싱가포르,아시아,115748
2023-11,이집트,아프리카,54390
2023-11,일본,아시아,982264
2023-11,중국,아시아,121715
2023-11,태국,아시아,50955
2023-11,필리핀,아시아,18317
2023-12,대만,아시아,310331
2023-12,베트남,아시아,173256
2023-12,싱가포르,아시아,124581
2023-12,인도네시아,아시아,7268
2023-12,일본,아시아,919602
2023-12,중국,아시아,148330
2023-12,태국,아시아,110407
2023-12,필리핀,아시아,54134
2024-01,괌,오세아니아,18342
2024-01,대만,아시아,620718
2024-01,라오스,아시아,45816
2024-01,말레이시아,아시아,9819
2024-01,베트남,아시아,381259
2024-01,싱가포르,아시아,314830
2024-01,요르단,아시아,6829
2024-01,일본,아시아,1756472
2024-01,조지아,유럽,4786
2024-01,중국,아시아,369559
2024-01,태국,아시아,252900
2024-01,필리핀,아시아,173834
2024-02,대만,아시아,435235
2024-02,몽골,아시아,16924
2024-02,베트남,아시아,287499
2024-02,싱가포르,아시아,245283
2024-02,인도네시아,아시아,27422
2024-02,일본,아시아,1356118
2024-02,중국,아시아,233133
2024-02,쿠바,남아메리카,7701
2024-02,태국,아시아,214678
2024-02,필리핀,아시아,147397
2024-03,대만,아시아,419381
2024-03,베트남,아시아,295017
2024-03,싱가포르,아시아,388575
2024-03,인도네시아,아시아,57966
2024-03,일본,아시아,1287719
2024-03,중국,아시아,227516
2024-03,태국,아시아,219682
2024-03,필리핀,아시아,165270
2024-04,대만,아시아,366159
2024-04,말레이시아,아시아,3471
2024-04,몽골,아시아,119629
2024-04,베트남,아시아,257366
