ds,yhat
2020-09-26,3279.8496146625175
2020-09-27,10474.523263915624
2020-09-28,10932.61810633342
2020-09-29,8152.063001293682
2020-09-30,6562.977186626278
2020-10-01,4405.401507430324
2020-10-02,1754.1911821156546
2020-10-03,1680.8141447867106
2020-10-04,8662.830685080897
2020-10-05,8962.32976594092
2020-10-06,6079.8932907889375
2020-10-07,4446.6849622958225
2020-10-08,2302.171072862042
2020-10-09,-280.9520247405326
2020-10-10,-234.88113741512734
2020-10-11,6912.893541120949
2020-10-12,7418.181863848357
2020-10-13,4774.248366748109
2020-10-14,3404.1186001945625
2020-10-15,1538.5382184785008
2020-10-16,-758.8473480396642
2020-10-17,-429.35727814036545
2020-10-18,6990.58247998449
2020-10-19,7748.282619455553
2020-10-20,5329.179969582497
2020-10-21,4149.357028671131
2020-10-22,2433.6867380722942
2020-10-23,241.16530343196246
2020-10-24,627.1643868004821
2020-10-25,8053.366005822418
2020-10-26,8766.641709859367
2020-10-27,6253.435980685967
2020-10-28,4932.238465406832
2020-10-29,3031.642089031204
2020-10-30,615.5528245781379
2020-10-31,745.2864473968066
2020-11-01,7889.32051999274
2020-11-02,8301.968841975387
2020-11-03,5477.544560291777
2020-11-04,3842.603189072416
2020-11-05,1633.7694231249552
2020-11-06,-1077.2796487457508
2020-11-07,-1221.932986294135
2020-11-08,5674.908762685552
2020-11-09,5873.333286375385
2020-11-10,2872.4333690061153
2020-11-11,1102.4356233397489
2020-11-12,-1197.5519332491313
2020-11-13,-3954.5989501947934
2020-11-14,-4100.075746969743
2020-11-15,2839.9338345371534
2020-11-16,3123.201084931523
2020-11-17,245.47108372881848
2020-11-18,-1367.276974519852
2020-11-19,-3480.925356088088
2020-11-20,-6028.099934904636
2020-11-21,-5946.1019459810495
2020-11-22,1232.8785914604264
2020-11-23,1760.5327857408392
2020-11-24,-873.2517486844608
2020-11-25,-2247.9445563143427
2020-11-26,-4134.298427561474
2020-11-27,-6469.083835177415
2020-11-28,-6192.8993066263265
2020-11-29,1159.7064981214885
2020-11-30,1839.0632579584017
2020-12-01,-665.28156961071
2020-12-02,-1932.1274738031116
2020-12-03,-3730.592678298516
2020-12-04,-5994.927347364548
2020-12-05,-5662.4331867152805
2020-12-06,1736.2783608110044
2020-12-07,2455.9559965352573
2020-12-08,-9.127927974127488
2020-12-09,-1232.9297213661375
2020-12-10,-2979.799326360634
2020-12-11,-5179.486038712297
2020-12-12,-4765.243693138334
2020-12-13,2735.7385563791613
2020-12-14,3580.852228504071
2020-12-15,1266.1029693564524
2020-12-16,218.25645103439
2020-12-17,-1327.3965387202697
2020-12-18,-3302.08129593945
2020-12-19,-2641.643833176803
2020-12-20,5123.055395984045
2020-12-21,6244.730399386461
2020-12-22,4213.8101137405865
2020-12-23,3450.7226078570384
2020-12-24,2183.8259810958175
2020-12-25,474.55581934732436
2020-12-26,1379.5266722648785
2020-12-27,9360.355925195527
2020-12-28,10662.47541401368
2020-12-29,8769.493137943151
2020-12-30,8095.690638112146
2020-12-31,6864.152576776158
2021-01-01,5132.092323188533
2021-01-02,5953.105504291298
2021-01-03,13787.115103261169
2021-01-04,14879.269525620897
2021-01-05,12714.353039795253
2021-01-06,11709.292285005333
2021-01-07,10091.25463970868
2021-01-08,7922.902675411291
2021-01-09,8264.538226954634
2021-01-10,15583.90234870774
2021-01-11,16134.896303516785
2021-01-12,13411.787654293614
2021-01-13,11841.490621059183
2021-01-14,9661.422614933825
2021-01-15,6944.507769703387
2021-01-16,6761.067884142491
2021-01-17,13588.374017188444
2021-01-18,13689.130744958286
2021-01-19,10565.46370434933
2021-01-20,8651.005644632773
2021-01-21,6188.5882867942255
2021-01-22,3255.1153736577035
2021-01-23,2923.3609292259907
